grant_key,gm_key,legacy_gm_key,ein,gm_name,gm_state,gm_country,gm_country_tran,gm_city,gm_county,gm_msa_code,gm_msa_name,gm_cong_dist,gm_type,gm_organization_code,gm_organization_tran,gm_estab_yr,family_fdn_flag,recipient_key,legacy_recipient_key,recip_ein,recip_name,recip_city,recip_state,recip_zipcode,recip_country,recip_country_tran,recip_county,msa_code,msa_name,recip_cong_dist,recip_location,recip_subject_code,recip_subject_tran,recip_population_code,recip_population_tran,recip_organization_code,recip_organization_tran,recip_strategy_code,recip_strategy_tran,recip_unit,auth_flag,amount,duration,yr_issued,description,grant_subject_code,grant_subject_tran,activity_override,activity_override_tran,grant_population_code,grant_population_tran,grant_strategy_code,grant_strategy_tran,grant_transaction_code,grant_transaction_tran,paid_auth_flag,currency,unconverted_amt,fund_name,fund_type,fund_sub_type,program_area,edition,source_file_type,edms_status,edms_needs_review,edms_needs_review_geo,domestic_foreign_flag,developing_country,intl_countries,intl_countries_tran,intl_geonames,intl_geonames_tran,intl_geotree,intl_geotree_tran,dom_geonames,dom_geonames_tran,dom_geotree,dom_geotree_tran,is_media,descrip_and_name,city_country,lat,lon,geometry,tokens
35157749,155114,NIKE002,931159948,NIKE Foundation,OR,US,United States,Beaverton,Washington,38900,"Portland-Vancouver-Hillsboro, OR-WA",01,CS,,,1994,,4875600,4875600,         ,Girl Effect,London,  ,W1F 0DE,GB,United Kingdom,,0,,,United Kingdom,SS050000; SH000000,Youth development; Information and Communications,PC040100; PG030200,Girls; Low-income people,EA000000,Non-governmental organizations,,,,Y,16000000,,2017,"Enable grantee to support and scale the girl effect movement in reaching a tipping point of direct and influenced action that together can eventually reach 250 million adolescent girls, and thus help STP poverty before it starts.",,,SS050000,Youth development,,,UK0700; UJ0000; UN0300,Equal access; Network-building and collaboration; Program expansion,TA00,Cash grants,P,,,,,,,,DataStream 990PF XML,Complete,,,F,,,,,,7100068,Global Programs,,,,,False,"Girl Effect Enable grantee to support and scale the girl effect movement in reaching a tipping point of direct and influenced action that together can eventually reach 250 million adolescent girls, and thus help STP poverty before it starts.","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['enable', 'grantee', 'scale', 'girl', 'effect', 'movement', 'reach', 'tip', 'point', 'direct', 'influence', 'action', 'together', 'eventually', 'reach', '250', 'million', 'adolescent', 'girls', 'thus', 'stp', 'poverty', 'start']"
36792962,201827,LLOY428,         ,Lloyd's Register Foundation,,GB,United Kingdom,London,,     ,,,CS,,,1760,,4421047,4421047,         ,"Alan Turing Institute, The",London,  ,NW1 2DB,GB,United Kingdom,,0,,,United Kingdom,,,,,,,,,,N,15286780,69.0,2016,"Engineering applications of big data to improve safety through advanced mathematics, computer science, algorithms and big data",SF020300; SH010200; SF050000,Computer science; Open data; Mathematics,SF020300,Computer science,PJ050100,Students,UM0400; UF0300,Data and measurement systems; Information technology,TA00,Cash grants,A,GBP,10000000.0,,,,,,360Giving,,Y,,F,,,,,,,,,,,,False,"Alan Turing Institute, The Engineering applications of big data to improve safety through advanced mathematics, computer science, algorithms and big data","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['engineer', 'applications', 'big', 'data', 'improve', 'safety', 'advance', 'mathematics', 'computer', 'science', 'algorithms', 'big', 'data']"
19684198,252328,QUEE360,         ,The Queen Elizabeth Diamond Jubilee Trust,,GB,United Kingdom,London,,     ,,,PC,,,0,,300225,27355,         ,London School of Hygiene & Tropical Medicine,London,  ,WC1E 7HT,GB,United Kingdom,,0,,,United Kingdom,SB060300; SE151000,Medical education; Infectious and parasitic diseases,PJ050000,Academics,EA000000; EF000000,Non-governmental organizations; Schools,,,,Y,11106530,60.0,2013,"To support the Eye Health Innovation Consortium, a group of regional eye-health organisations and training / academic institutions from several Commonwealth countries. The programme will include training in Public Health for Eye Care, a new open educational resource for ophthalmic public health, clinical sub-specialty fellowship training for ophthalmologists, research fellowships (PhD and post-doctoral level), new smartphone based technologies and a new electronic patient record system",SE130000; SB060000; SE000000; SE150500; SH040600,Public health; Graduate and professional education; Health; Eye diseases; Mobile media,SE130000,Public health,PH010200; PJ050000,People with vision impairments; Academics,UN0000; UJ0100; UE0100; UP0500; UM0100,Program support; Convening; Faculty and staff development; Online media; Research,TA00,Cash grants,A,GBP,7100000.0,,,,,,eFile,Complete,,,F,,,,,,,,,,,,True,"London School of Hygiene & Tropical Medicine To support the Eye Health Innovation Consortium, a group of regional eye-health organisations and training / academic institutions from several Commonwealth countries. The programme will include training in Public Health for Eye Care, a new open educational resource for ophthalmic public health, clinical sub-specialty fellowship training for ophthalmologists, research fellowships (PhD and post-doctoral level), new smartphone based technologies and a new electronic patient record system","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['eye', 'health', 'innovation', 'consortium', 'group', 'regional', 'eyehealth', 'organisations', 'academic', 'institutions', 'several', 'commonwealth', 'countries', 'programme', 'include', 'public', 'health', 'eye', 'care', 'open', 'educational', 'resource', 'ophthalmic', 'public', 'health', 'clinical', 'subspecialty', 'fellowship', 'ophthalmologists', 'research', 'fellowships', 'phd', 'postdoctoral', 'level', 'smartphone', 'base', 'technologies', 'electronic', 'patient', 'record', 'system']"
32851950,246118,ARCA107,         ,Arcadia Fund,,GB,United Kingdom,London,,     ,,,IF,,,2002,,323122,49238,         ,University of London,London,  ,,GB,United Kingdom,,0,,,United Kingdom,SB050300,University education,PJ050000,Academics,EB000000,Governments and agencies,,,SOAS University of London,Y,11000000,,2017,"Continue to support the Endangered Languages Documentation Programme, an open access programme recording vanishing and previously undocumented languages",SA040000; SA080300; SH020201,Cultural awareness; Languages; Digital collections,SA040000,Cultural awareness,,,UF1000; UP0500,Collections management and preservation; Online media,TA00,Cash grants,A,,,,,,,,FC eFile,Complete,,,F,,,,,,1000004; 7001242; 7001526,Asia; Africa; Middle East,,,,,False,"University of London Continue to support the Endangered Languages Documentation Programme, an open access programme recording vanishing and previously undocumented languages","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['continue', 'endanger', 'languages', 'documentation', 'programme', 'open', 'access', 'programme', 'record', 'vanish', 'previously', 'undocumented', 'languages']"
19894953,116071,GATE023,562618866,Bill & Melinda Gates Foundation,WA,US,United States,Seattle,King,42660,"Seattle-Tacoma-Bellevue, WA",07,FM,EA060100  ,Coalitions and alliances,0,Y,725771,7851379,         ,BBC Media Action,London,  ,EC3N 1DY,GB,United Kingdom,,0,,,United Kingdom,SH040000; ST040000,Communication media; International development,PG030200,Low-income people,EA000000,Non-governmental organizations,,,,Y,6500718,36.0,2013,"To implement effective, integrated and sustainable multi-channel communication strategy to increase early care-seeking for childhood pneumonia and diarrhea in two Northern Nigerian states",SE130100; SE151200; SE150300; SH040000; ST040000,Communicable disease control; Respiratory system diseases; Digestive system diseases; Communication media; International development,SE130100,Communicable disease control,PA010000; PG030200,Children and youth; Low-income people,UN0000; UM0100,Program support; Research,TA00,Cash grants,A,,,,,,Global Development|Global Health,,eFile,Complete,,,F,Y,NG,Nigeria,2328926,Federal Republic of Nigeria,,,,,,,True,"BBC Media Action To implement effective, integrated and sustainable multi-channel communication strategy to increase early care-seeking for childhood pneumonia and diarrhea in two Northern Nigerian states","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['implement', 'effective', 'integrate', 'sustainable', 'multichannel', 'communication', 'strategy', 'increase', 'early', 'careseeking', 'childhood', 'pneumonia', 'diarrhea', 'two', 'northern', 'nigerian', 'state']"
31005736,116071,GATE023,562618866,Bill & Melinda Gates Foundation,WA,US,United States,Seattle,King,42660,"Seattle-Tacoma-Bellevue, WA",07,FM,EA060100  ,Coalitions and alliances,0,Y,3126915,3126915,986001062,University of Oxford,Oxford,  ,OX1 2JD,GB,United Kingdom,,0,,,United Kingdom,SB050300,University education,PJ050000,Academics,EB000000; EA040000; EF000000,Governments and agencies; Public charities; Schools,,,,Y,5643340,48.0,2017,"To fund a consortium to analyze HIV genetic sequence data; to curate, share and continue to generate these data; and so to generate evidence that will underpin targeted HIV prevention",SE150801; SF040400; SE050800; SH010200,HIV/AIDS; Genetic research; Preventive care; Open data,SE150801,HIV/AIDS,PJ050300,Researchers,UM0100; UM0400,Research; Data and measurement systems,TA00,Cash grants,A,,,,,,Global Health,,eFile,Complete,,,F,Y,,,,,7001242; 7100067; 7100068,Africa; Developing Countries; Global Programs,,,,,False,"University of Oxford To fund a consortium to analyze HIV genetic sequence data; to curate, share and continue to generate these data; and so to generate evidence that will underpin targeted HIV prevention","Oxford, United Kingdom",51.7520209,-1.2577263,POINT (-1.2577263 51.7520209),"['consortium', 'analyze', 'hiv', 'genetic', 'sequence', 'data', 'curate', 'share', 'continue', 'generate', 'data', 'generate', 'evidence', 'underpin', 'target', 'hiv', 'prevention']"
19895209,116071,GATE023,562618866,Bill & Melinda Gates Foundation,WA,US,United States,Seattle,King,42660,"Seattle-Tacoma-Bellevue, WA",07,FM,EA060100  ,Coalitions and alliances,0,Y,725806,7851418,         ,Good Business,London,  ,W1D 6JL,GB,United Kingdom,,0,,,United Kingdom,SN000000; SD040000,Community and economic development; Nonprofits,,,ED000000,Businesses,,,,Y,5000000,24.0,2013,To reduce tobacco-related death and disease in Africa by preventing the initiation of new smokers and decreasing overall tobacco use through the use of positive social marketing prompts aimed at making tobacco less appealing,SE120502; SE130000; SH040000; ST040000,Smoking; Public health; Communication media; International development,SE120502,Smoking,PG030200,Low-income people,UN0000; UM0100,Program support; Research,TA00,Cash grants,A,,,,,,Global Policy and Advocacy,,eFile,Complete,,,F,,,,,,7001242,Africa,,,,,False,Good Business To reduce tobacco-related death and disease in Africa by preventing the initiation of new smokers and decreasing overall tobacco use through the use of positive social marketing prompts aimed at making tobacco less appealing,"London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['reduce', 'tobaccorelated', 'death', 'disease', 'africa', 'prevent', 'initiation', 'smokers', 'decrease', 'overall', 'tobacco', 'positive', 'social', 'market', 'prompt', 'aim', 'make', 'tobacco', 'less', 'appeal']"
31202368,116071,GATE023,562618866,Bill & Melinda Gates Foundation,WA,US,United States,Seattle,King,42660,"Seattle-Tacoma-Bellevue, WA",07,FM,EA060100  ,Coalitions and alliances,0,Y,725771,7851379,         ,BBC Media Action,London,  ,EC3N 1DY,GB,United Kingdom,,0,,,United Kingdom,SH040000; ST040000,Communication media; International development,PG030200,Low-income people,EA000000,Non-governmental organizations,,,,Y,4999997,86.0,2015,"To shape demand and social norms and improve family health practices in Bihar, India, through an integrated and sustainable communication strategy, empowering those who currently lack the information to make informed decisions about their health",SE130000; SE020000; SS040000; SH040000,Public health; Health care access; Family services; Communication media,SE130000,Public health,PD010000; PG030200,Families; Low-income people,UN0000; UC0000,Program support; Continuing support,TA00,Cash grants,A,,,,,,,,eFile,Complete,,,F,,IN,India,1275715,State of Bihār,,,,,,,True,"BBC Media Action To shape demand and social norms and improve family health practices in Bihar, India, through an integrated and sustainable communication strategy, empowering those who currently lack the information to make informed decisions about their health","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['shape', 'demand', 'social', 'norms', 'improve', 'family', 'health', 'practice', 'bihar', 'india', 'integrate', 'sustainable', 'communication', 'strategy', 'empower', 'currently', 'lack', 'make', 'inform', 'decisions', 'health']"
31208001,116071,GATE023,562618866,Bill & Melinda Gates Foundation,WA,US,United States,Seattle,King,42660,"Seattle-Tacoma-Bellevue, WA",07,FM,EA060100  ,Coalitions and alliances,0,Y,3763305,3763305,         ,Caribou Digital Uk Ltd,Farnham,  ,GU10 4NF,GB,United Kingdom,,0,,,United Kingdom,SH040700; SN020000; SN060600,Web media; Economic development; Entrepreneurship,PG030200,Low-income people,ED000000,Businesses,,,,Y,4896100,32.0,2015,"To catalyze the development and scaling of services that drive financial inclusion, reduce the cost of financial transactions, and increase the financial sophistication of the products used by low-income users",SN050000; SH040700,Financial services; Web media,SN050000,Financial services,PG030200,Low-income people,UP0500; UG0300,Online media; Financial services,TA00,Cash grants,A,,,,,,,,eFile,Complete,,,F,,,,,,7100068,Global Programs,,,,,True,"Caribou Digital Uk Ltd To catalyze the development and scaling of services that drive financial inclusion, reduce the cost of financial transactions, and increase the financial sophistication of the products used by low-income users","Farnham, United Kingdom",51.214321,-0.798802,POINT (-0.798802 51.214321),"['catalyze', 'scale', 'service', 'drive', 'financial', 'inclusion', 'reduce', 'cost', 'financial', 'transactions', 'increase', 'financial', 'sophistication', 'products', 'use', 'lowincome', 'users']"
32932637,243622,FORD010,131684331,Ford Foundation,NY,US,United States,New York City,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",12,IF,,,0,,511521,7547775,981030160,British Documentary Film Foundation,London,  ,W1,GB,United Kingdom,,0,,,United Kingdom,SH040200; SH010104,Film and video; Advocacy journalism,,,EA000000,Non-governmental organizations,,,,Y,4250000,48.0,2017,"For general support for the development of documentary films, tools and events with the potential to engage and connect audiences, and for core support for institutional strengthening",,,SH040200,Film and video,,,UA0000; UD0000,General support; Capacity-building and technical assistance,TA00,Cash grants,A,,,,,,Creativity and Free Expression,,eFile,Complete,,,F,,,,,,7100068,Global Programs,,,,,True,"British Documentary Film Foundation For general support for the development of documentary films, tools and events with the potential to engage and connect audiences, and for core support for institutional strengthening","London, United Kingdom",51.5073509,-0.1277583,POINT (-0.1277583 51.5073509),"['documentary', 'film', 'tool', 'events', 'potential', 'engage', 'connect', 'audiences', 'core', 'institutional', 'strengthen']"
